,name,price,url,description,Alcohol percentage,Bottle volume ml,Brand,Gift box,Country of origin,Type,Vintage,years old,brand_match,brand_match2,missing_brands
396,Lagavulin 16 Year 700ml w/Gift Box,115,https://www.paneco.com.sg/products/lagavulin-16-year-single-malt-700ml-w-gift-box,"
                  Single malt whiskey, from the island Islay in Scotland. The whiskey is aged for 16 years in oak barrels that were previously used to age sherry, and offers highly dominant smoky and peaty flavors. Lagavulin 16 is the main component in the Johnnie Walker Red blend.
                ",43,700ml,lagavulin,Yes,Scotland,,,16 Year,lagavulin,lagavulin,
397,Lagavulin 8 Year 700ml Single Malt Whisky w/ Gift Box,115,https://www.paneco.com.sg/products/lagavulin-8-year-700ml-single-malt-whisky-w-gift-box,"
                  The definitive Islay malt—intensely flavoured, smoky and rich. The windswept Isle of Islay instils a strength of character into everything it produces and its here, nestled in a small bay that our beloved whisky has been made for over 200 years.
                ",48,700ml,lagavulin,Yes,Scotland,,,8 Year,lagavulin,lagavulin,
398,Lagavulin 9 year Game of Thrones 700ml w/ Gift Box,147,https://www.paneco.com.sg/products/lagavulin-9-year-game-of-thrones-single-malt-700ml-w-gift-box,"
                  Lagavulin is one of the most legendary single malt brands and has been crafted on the shores of Islay for more than 200 years – mirroring the meticulous calculation and tenacity employed by the Lannisters in their rise to conquer the Iron Throne. Characteristic Lagavulin sweet smoke explodes on the nose with a little more brine than the other expressions. The palate opens with smoked caramelized banana and heavy vanilla and burnt marshmallow which subside into a light dry, slightly salted caramel.
                ",46,700ml,lagavulin,Yes,Scotland,,,,lagavulin,lagavulin,
399,Laphroaig 10 Year 1L w/Gift Box,108.9,https://www.paneco.com.sg/products/laphroaig-10-year-single-malt-1l-w-gift-box,"
                  Laphroaig distillery is an Islay single malt Scotch whisky distillery which was founded in 1815. This expression was aged in oak barrels for 10 years. 
                ",40,1000ml,laphroaig,Yes,Scotland,,,10 Year,laphroaig,laphroaig,
400,Laphroaig 10 Year 700ml w/Gift Box,88.8,https://www.paneco.com.sg/products/laphroaig-10-year-single-malt-700ml-w-gift-box,"
                  Laphroaig is a Scottish single malt that was aged in oak barrels for 10 years. Its flavor is smoky, peaty and a little salty for its age. Many consider it the smokiest whisky.
                ",40,700ml,laphroaig,Yes,Scotland,,,10 Year,laphroaig,laphroaig,
401,Laphroaig 1815 Legacy Edition 700ml w/Gift Box,199,https://www.paneco.com.sg/products/laphroaig-1815-legacy-edition-single-malt-700ml-w-gift-box,"
For two centuries, Laphroaig master craftsmen have worked to shape the most richly flavoured of all Scotch whiskies.This exceptional edition was created by current Laphroaig Distillery Manager, John Campbell, to honour those who have gone before him.Left to rest in first-fill, over-charred ex-bourbon barrels before further maturing in large, new European oak hogsheads never before used by Laphroaig, maturation occurs slowly, resulting in a whisky of great depth.
                ",48,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
402,Laphroaig 27 Years Cask Strength Single Malt 700ml w/Gift Box,965,https://www.paneco.com.sg/products/laphroaig-27-years-cask-strength-single-malt-700ml-w-gift-box,"
                  Laphroaig 27 Year Old was aged in refill hogsheads before being double-matured in first-fill ex-bourbon barrels and refill quarter casks. All of it was aged in Warehouse No.1, the maturation hall closest to the ocean, with waves rearing up just below the distillery’s white washed walls - hence, a few tasters report extra maritime lift in the whisky.
                ",41.7,700ml,laphroaig,Yes,Scotland,,,27 Year,laphroaig,laphroaig,
403,Laphroaig 28 Year Single Malt 700ml w/Gift Box,1199,https://www.paneco.com.sg/products/laphroaig-28-year-single-malt-700ml-w-gift-box,"
                  Laphroaig 28 Year has matured for more than a quarter of a century in casks of various sizes, from quarter casks to butts, before being married in sherry casks for 12 months to harmonise the flavours. 
                ",44.4,700ml,laphroaig,Yes,Scotland,,,28 Year,laphroaig,laphroaig,
404,Laphroaig An Cuan Mor 700ml w/Gift Box,148,https://www.paneco.com.sg/products/laphroaig-an-cuan-mor-single-malt-700ml-w-gift-box,"
                  'An Cuan Mor' (Gaelic for 'big ocean') is aged in first-fill x- bourbon barrels and finished in European oak. Reports have it that this is essentially 18 Year Old Laphroaig finished in Sherry casks. 
                ",48,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
405,Laphroaig Brodir Port Wood Finish 700ml w/Gift Box,192.8,https://www.paneco.com.sg/products/laphroaig-brodir-port-wood-finish-single-malt-700ml-w-gift-box,"
This NAS (No Age Statement Laphroaig) follows on from other successful bottlings including Laphroaig QA Cask, PX Cask and Laphroaig An Cuan Mór. The first Laphroaig Brodir 13 year old was introduced in 2012 at the Viking Line Whisky Fair. We have just received a small volume of batch 002. The whisky is matured in ex-Bourbon barrels followed by a second maturation in European oak casks seasoned with Ruby Port.Brodir means ‘brother’ in ancient Norse. This label celebrates Scotland’s connection with the Nordic region and culture.This is a Paneco.com exclusive.
                ",48,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
406,Laphroaig Four Oak 1L w/Gift Box,127.5,https://www.paneco.com.sg/products/laphroaig-four-oak-single-malt-1l-w-gift-box,"
                  Four different casks are selected by hand; ex-bourbon barrels. Small quarter casks, virgin American oak barrels and larger European Oak hogshead. Four Oak is an extraordinary fusion of flavours including sandalwood, pine, fir and willow. It’s the big malt from the shores of the big ocean.
                ",40,1000ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
407,Laphroaig Port Sherry (PX) Cask Single Malt 1L w/Gift Box,188,https://www.paneco.com.sg/products/laphroaig-port-sherry-px-single-malt-1l-w-gift-box,"
On the far edge of the Scotch whisky map, it's supposed that the art of distillation was first brought to Islay by Irish monks. Being remote, it’s an art that flourished in the hands of the islanders, whose illegal operations tested the resolve and means of the tax man. Eventually, the law relaxed, various whisky makers set up legitimate distilleries, among them a pair of farmers, Donald and Alexander Johnston, who in 1815 founded their distillery on the island’s south coast. Laphroaig, so called after its location, ‘broad hollow by the bay.’ It would remain in family hands for the next 139 years. Find out more about the history of Laphroaig below, using the scroller on the timeline to travel back in time.The Port Sherry Cask edition was originally made for Travel Retail. Now you can enjoy it without having to use your passport!
                ",48,1000ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
408,Laphroaig Quarter Cask 700ml w/Gift Box,107,https://www.paneco.com.sg/products/laphroaig-quarter-cask-single-malt-700ml-w-gift-box,"
Laphroaig Quarter Cask offers an irresistible doubling of flavour, due to the double maturation in two barrels made of American oak. Still-maturing whisky from our standard ex-bourbon barrels is transferred to quarter casks and left to rest in our warehouse just a stone’s throw from the Atlantic shore.This process represents Laphroaig breathing new life into a once-defunct tradition: the use of the smaller cask size, which ensures increased contact with the oak, creating a soft and velvety edge to complement Laphroaig’s distinctive peatiness.On the nose the sensation is toffee and caramel, caused by the vanillas and tannins of the American oak, plus a dryness from the wood oil. The finish is long and alternates between this sweetness and smoke.
                ",48,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
409,Laphroaig Select 700ml w/Gift Box,74.5,https://www.paneco.com.sg/products/laphroaig-select-single-malt-700ml-w-gift-box,"
Laphroaig Select takes its name from the special selection of American and European casks, chosen for their unique character that they give during maturation. Our Inspiration for their new Global expression has been take from history – 70-80 years ago, the time of the last family member owner of the distillery, Ian Hunter. Ian was one of the biggest influences in the history of Laphroaig indeed he was one of the first distillers to travel to bourbon county in the USA to identify new sources of casks that would give him greater consistency as well as new flavours. He later married this ‘new’ style of Laphroaig with his traditionally matured (European cask) Laphroaig.Inspired by his early work , they have used Oloroso sherry butts, straight American white oak (non-filled with bourbon), PX seasoned hogsheads, Quarter Casks and finally of course first fill Bourbon Casks. This varied cask maturation technique enabled us to create 6 new flavour combinations that were then tested with our FOL’s to choose their favourite style and indeed name. The winning flavour and name chosen by you is LAPHROAIG SELECT.
                ",40,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
410,Laphroaig Triple Wood 700ml w/Gift Box,118,https://www.paneco.com.sg/products/laphroaig-triple-wood-single-malt-700ml-w-gift-box,"
Triple Wood is an extension of the Quarter Cask expression and is special for its triple maturation, which creates a unique blend of our signature peat-smoked liquid with softer notes of fruit and spices. First maturing in ex-bourbon barrels, second maturation in quarter casks and then a third maturation in European oak casks previously used for Oloroso sherry.This final stage allows for a slow maturation – all leading to a soft, complex and fully rounded flavour. When tasted, Triple Wood begins with a subtle sherry sweetness before offering up spiciness and nuttiness and a huge peat flavour.
                ",48,700ml,laphroaig,Yes,Scotland,,,,laphroaig,laphroaig,
411,Ledaig 10 Year 700ml w/Gift Box,99.5,https://www.paneco.com.sg/products/ledaig-10-year-single-malt-700ml-w-gift-box,"
This extraordinary and distinguished hand-crafted single malt is the distillery’s signature smoky expression.For ten full years, oak wood casks lie in rest in ancient vaults.Within them, the aromatic Lochan waters commune with the peated malted barley to create a deep golden treasure that is both floral and smoky.Ledaig is one of the most exquisite peated single malts, an integral part of the Tobermory family.
                ",46.3,700ml,tobermory,Yes,Scotland,,,10 Year,-,-,tobermory
412,Ledaig 18 Year Single Malt 700ml w/Gift Box,288,https://www.paneco.com.sg/products/ledaig-18-year-single-malt-700ml-w-gift-box,"
                  Established in 1798, Tobermory is the only distillery on Mull and one of the oldest commercial distilleries in Scotland. It is unique, not just because of its idyllic location, but because it produces two different, but equally alluring, single malts: the fruity, unpeated Tobermory and the more robust and smoky Ledaig.
                ",46.3,700ml,tobermory,Yes,Scotland,,,18 Year,-,-,tobermory
413,Macallan 10 Year Fine Oak 700ml w/Gift Box,144.65,https://www.paneco.com.sg/products/macallan-10-year-fine-oak-single-malt-700ml-w-gift-box,"
                  The Macallan Fine Oak 10 Years Old forms part of the Fine Oak range and is matured for a minimum of ten years in three exceptional oak cask types. This complex combination of casks delivers a light whisky with notes of honey and fruit.
                ",40,700ml,macallan,Yes,Scotland,,,10 Year,macallan,macallan,
414,Macallan 12 Year 700ml Chinese New Year Limited Edition 1,169.5,https://www.paneco.com.sg/products/macallan-12-year-single-malt-700ml-chinese-new-year-special-edition-1,"
The Macallan Double Cask 12 Years Old is part of the Double Cask range which marries the classic Macallan style and the unmistakable sweetness of American oak. This is a fully rounded single malt in perfect balance, with flavours of honey, citrus and ginger.
                ",40,700ml,macallan,Yes,Scotland,,,12 Year,macallan,macallan,
415,Macallan 12 Year 700ml Chinese New Year Limited Edition 2,169.5,https://www.paneco.com.sg/products/macallan-12-year-single-malt-700ml-chinese-new-year-special-edition-2,"
The Macallan Double Cask 12 Years Old is part of the Double Cask range which marries the classic Macallan style and the unmistakable sweetness of American oak. This is a fully rounded single malt in perfect balance, with flavours of honey, citrus and ginger.
                ",40,700ml,macallan,Yes,Scotland,,,12 Year,macallan,macallan,
416,Macallan 12 Year Double Cask 700ml w/Gift Box,136.95,https://www.paneco.com.sg/products/macallan-12-year-double-cask-single-malt-700ml-w-gift-box,"
It is often said that when two worlds come together, they create something magical, or simply extraordinary.  For us, this is the absolute truth behind our new 12 year old single malt; The Macallan Double Cask. This is a single malt which tells the story of a journey; a story which brings together different worlds.  To create Double Cask, we bring new oak from America across thousands of miles to Spain, where oak casks are crafted and sherry seasoned before travelling to our distillery on Speyside to mature for twelve years. These whiskies are then harmoniously united with those aged in the very best sherry seasoned European oak casks.  This union reveals an unmatched investment in time and extraordinary commitment to mastery for which The Macallan has been known since 1824. Exclusively sherry seasoned, The Macallan Double Cask 12 Years Old delivers a distinct American oak style, reflecting a perfect harmony of flavours and natural colour.   The delicate flavour of American oak – vanilla, citrus and light oak – rises in prominence as the traditional Macallan character of rich fruit, sherry and wood spice affords a familiar back drop. This is a flavour combination which is guaranteed until the very last drop.
                ",40,700ml,macallan,Yes,Scotland,,,12 Year,macallan,macallan,
417,Macallan 12 Year Single Malt 700ml Chinese New Year Limited Edition Gift Set,269,https://www.paneco.com.sg/products/macallan-12-year-single-malt-700ml-chinese-new-year-special-edition-set,"
                  The Macallan Year of the Ox 2021 Limited Edition Gift Set features Editions 1 & 2 of the Macallan 12 Double Cask to celebrate Chinese New Year. The painting displayed on the bottles labels as well as the gift boxes form an artwork, created to display health & prosperity.
                ",,2 x 700ml,macallan,,,,,12 Year,macallan,macallan,
418,Macallan 12 Year Triple Cask (Fine Oak) 700ml w/Gift Box,119,https://www.paneco.com.sg/products/macallan-12-year-triple-cask-fine-oak-single-malt-700ml-w-gift-box,"
A lighter style Macallan with flavours of citrus, vanilla and coconut.The addition of American oak bourbon seasoned barrels imparts aromas and flavours slightly drier and more oaky than the American oak sherry casks, with more pronounced aromas and flavours of coconut, but still with the lighter colour and sweetness associated with American oak.
                ",40,700ml,macallan,Yes,Scotland,,,12 Year,macallan,macallan,
419,Macallan 12 Year Triple Cask (Fine Oak) 750ml w/Gift Box,122.3,https://www.paneco.com.sg/products/macallan-12-year-triple-cask-fine-oak-single-malt-750ml-w-gift-box,"
                  A vibrant single malt with notes of vanilla, fresh oak and spice, the Macallan Fine Oak 12 Years Old forms part of the Fine Oak range and is aged for a minimum of twelve years in three extraordinary oak cask types. This complicated combination of casks delivers a smooth whisky with notes of dried fruit, honey and subtle spice.
                ",40,750ml,macallan,Yes,Scotland,,,12 Year,macallan,macallan,
420,Macallan 18 Year Double Cask 700ml w/Gift Box,392.95,https://www.paneco.com.sg/products/macallan-18-year-double-cask-single-malt-700ml-w-gift-box,"
The Macallan Double Cask 18 Years Old, a perfectly balanced single malt whisky matured for 18 years in both American and European sherry seasoned oak casks. Sherry seasoned American oak adds delicate vanilla to the subtle spice of European oak, delivering a whisky with a sweeter, warmer taste and character.
                ",43,700ml,macallan,Yes,Scotland,,,18 Year,macallan,macallan,
421,Macallan 18 Year Triple Cask (Fine oak) Single Malt 700ml w/ Gift Box,390,https://www.paneco.com.sg/products/macallan-18-year-triple-cask-fine-oak-single-malt-700ml-w-gift-box,"
                  Crafted from a combination of European sherry seasoned oak casks, American sherry seasoned oak casks and American ex-bourbon oak casks, our Triple Cask Matured 18 Years Old showcases and exemplifies the vibrant union of three spirits. Characterised by the smooth, delicate and complex character of the entire range, eighteen years of maturation gives this expression the greatest depth of flavour with richness of orange, velvety cocoa and wood spice a natural light amber colour. The Macallan Triple Cask Matured 18 Years Old forms part of our Triple Cask Matured range; a series of single malt whiskies crafted in a triple cask combination of European and American sherry seasoned oak casks and American ex-bourbon oak casks. Exquisitely and expertly married together, this trinity of spirits produces an exotic single malt with orange, velvety cocoa and wood spice flavours. 
                ",43,700ml,macallan,Yes,Scotland,,,18 Year,macallan,macallan,
422,Macallan Enigma 700ml w/Gift Box,320,https://www.paneco.com.sg/products/macallan-enigma-single-malt-700ml-w-gift-box,"
                  A rich and intense single malt offers up mature oak with subtleties of cinnamon, vanilla and dried fruit, the Macallan Enigma is under the Quest Collection series. Each single malt within the range is an exploration of flavour and texture, from vibrant and fresh through to rich and intense, concluding with a whisky that signifies the essence of The Macallan. The Macallan Enigma represents the pinnacle of the Quest Collection journey in this rich and intense whisky.
                ",44.9,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
423,Macallan Estate Reserve 700ml w/Gift Box,339,https://www.paneco.com.sg/products/macallan-estate-reserve-single-malt-700ml-w-gift-box,"
Heritage in a glass. An inviting dark amber colour encases notes of ginger, oak and fruit.Every Macallan single malt reveals the unrivalled commitment to the mastery of wood and spirit for which The Macallan has been known since it was established in 1824. It is an expression of our enduring desire to go beyond ordinary, to seek out the extraordinary, and create peerless single malts. With an unflinching commitment to put sherry casks at the heart of The Macallan single malt, our reputation for the extraordinary is testament to the exceptional oak casks in which we mature our spirit. Sourced, crafted, toasted and seasoned under the watchful eye of The Macallan Master of Wood, these hand-picked casks are delivered to the demanding specifications of The Macallan Master Distiller and his team. Once filled, the maturing spirit remains undisturbed in the same casks for the necessary number of years it needs to be worthy of its destined Macallan expression. It is these oak casks that make the greatest contribution to the quality, natural colour and distinctive aromas and flavours which lie at the heart of The Macallan single malt.
                ",45.7,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
424,Macallan Lumina 700ml w/Gift Box,139.95,https://www.paneco.com.sg/products/macallan-lumina-single-malt-700ml-w-gift-box,"
                  Each single malt within the range is an exploration of flavour and texture, from vibrant and fresh through to rich and intense, concluding with a whisky that signifies the essence of The Macallan. The Macallan Lumina represents the direction of the Quest Collection journey in this warm and smooth whisky.
                ",41.3,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
425,Macallan M Decanter 700ml w/Gift Box,7499,https://www.paneco.com.sg/products/macallan-m-decanter-single-malt-700ml-w-gift-box,"
                  M is the iconic result of an unprecedented collaboration between three masters of their crafts who shared the same unique objective - to create the world's most sophisticated whisky contained in an exquisite, exclusively designed crystal decanter. A masterpiece of design, M is brought to conception by creative director and legendary designer Fabien Baron, brought to life by Lalique mastery of crystal and brought to purpose by The Macallan.
                ",44.5,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
426,Macallan No.6 700ml w/Gift Box,4699,https://www.paneco.com.sg/products/macallan-no-6-single-malt-700ml-w-gift-box,"
                  No. 6 brings together the art of whisky making with Lalique exquisite craftsmanship to create a stunning whisky encased in the finest crystal decanter. This rich, complex single malt takes its unique natural colour and character from first fill sherry seasoned oak casks from Spain, handcrafted by the master craftsmen of Jerez de la Frontera, the home of sherry. The casks are taken from a single cooperage in order to ensure the infinite quality and character at the heart of this rich single malt. The cooperage exclusively creates Spanish oak casks which, once seasoned with sherry, create the unique flavour of this exquisite whisky. Rich in spice and dried fruit with a layer of heady orange groves, this is an enticing, dark, whisky that delivers classic Macallan character.
                ",43,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
427,Macallan Oscuro 700ml w/Gift Box,1628,https://www.paneco.com.sg/products/macallan-oscuro-single-malt-700ml-w-gift-box,"
Dark, lusciously rich and satisfying, the Macallan Oscuro's sherry seasoned heritage and luscious richness is the inspiration for its name, meaning ‘dark’ in Spanish.The Macallan Oscuro is drawn exclusively from oak casks seasoned with Oloroso Sherry. An exceptionally high proportion of these are first fill, which gives the whisky with a rich, deep colour and intense flavour.
",46.5,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
428,Macallan Rare Cask - 2020 Release 700ml w/Gift Box,429,https://www.paneco.com.sg/products/macallan-rare-cask-2020-release-single-malt-700ml-w-gift-box,"
                  The Macallan Rare Cask features a deep ruby mahogany colour and displays an intense sweet raisin note, coupled with a rich, velvety smooth mouthfeel and complexity to provide an indulgent and highly sensorial whisky experience.
                ",43,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
429,Macallan Rare Cask Red Batch No.1 2019 700ml w/Gift Box,473,https://www.paneco.com.sg/products/macallan-rare-cask-red-batch-no-1-2019-single-malt-700ml-w-gift-box,"
Crafted to showcase complexity and depth, Rare Cask is drawn from the broadest spectrum of casks, 16 different types, ever identified by the Master Whisky Maker.Far less than 1% of those casks maturing at the distillery have been identified as fitting to bestow the Rare Cask name. Combining Spanish and American sherry seasoned oak casks, a high proportion of them first fill, gives rise to an exquisite whisky with a splendidly rich hue, and an unmistakably woody whisky.  Soft notes of opulent vanilla and raisin on the nose, give way to apple, lemon, and orange. Balanced by a spicy quartet of root ginger, cinnamon, nutmeg and clove. Oak resonates, timeless, polished and rich. Vanilla and chocolate lead the finale along with a light citrus zest. The finish is full, warming and woody.*Batch No 1. 2019 Release. 
                ",43,700ml,macallan,Yes,Scotland,,2019,,macallan,macallan,
430,Macallan Terra 700ml w/Gift Box,254.95,https://www.paneco.com.sg/products/macallan-terra-single-malt-700ml-w-gift-box,"
                  A complex, yet balanced single malt, with a distinctive character of toffee, sweet dried fruit and rich wood spices. Each single malt within the range is an exploration of flavour and texture, from vibrant and fresh through to rich and intense, concluding with a whisky that signifies the essence of The Macallan. The Macallan Terra represents the story of discovery in the Quest Collection journey in this balanced and complex whisky.
                ",43.8,700ml,macallan,Yes,Scotland,,,,macallan,macallan,
431,Mackinlays Shackleton Blended 1L,89,https://www.paneco.com.sg/products/mackinlays-shackleton-blended-1l,"
Shackleton ordered 25 cases of Mackinlay's Rare Old Highland Malt Whisky to take on his expedition of 1907. In 2007, eleven intact bottles containing this perfectly preserved whisky were recovered from under the ice beneath Shackleton's base camp.Master Blender, Richard Paterson, created this Shackleton whisky as a personal and deeply felt project. He has combined the best Highland malt whiskies, allowing them to marry over a long period to create an enigmatic blended malt with a dash of body and a whisper of smoke. It has complex notes of vanilla, honey and orchard fruits with real warmth and depth at its heart, like Shackleton himself.
                ",40,1000ml,mackinlay,No,Scotland,,,,-,-,mackinlay
432,maker's mark 46 750ml,79.95,https://www.paneco.com.sg/products/makers-mark-46-750ml,"
Maker's Mark 46 was created by Bill Samuels, Jr., to amplify the flavors he loves in Maker's Mark. The innovative wood-stave-finishing process starts with fully matured Maker's Mark at cask strength followed by inserting 10 seared virgin French oak staves into the barrel and finish it for nine weeks in our limestone cellar. The result is Maker's Mark 46: bolder and more complex, but without the bitterness typical of longer-aged whiskies.
                ",47,750ml,maker's mark,No,United States,Bourbon,,,maker's mark,maker's mark,
433,maker's mark Red Bourbon 1L,92.2,https://www.paneco.com.sg/products/maker-s-mark-red-bourbon-1l,"
More than 60 years ago, Kentucky distiller Bill Samuels, Sr., founder of Maker's Mark, set out simply to make a bourbon whisky that he would enjoy drinking. Using soft, red winter wheat in the mashbill instead of the traditional distiller's rye, he created a premium bourbon that was full-flavored, yet soft and never bitter: Maker's Mark.Bill Samuels, Sr., transformed bourbon from a ""commodity"" into a premium spirit, and today Maker's Mark continues to be made with care in exactly the same way. Since the first bottle sold in 1958, each iconic bottle is still hand-dipped with a red wax by people, not machines.
                ",45,1000ml,maker's mark,No,United States,Bourbon,,,maker's mark,maker's mark,
434,Mars 3&7 720ml,83,https://www.paneco.com.sg/products/mars-3-7-720ml,"
                  Mars Shinshu distillery is located in Japan highest peak at an altitude of 798m. Abundant water and harsh natural environment of Komagatake will foster the whiskey whiskeys. Blender to protect the taste of Bren debt whiskey has created a taste of a blend of personality rich variety of whiskeys ""3 & 7"". 
                ",40,720ml,mars shinshu,No,Japan,,,,-,-,mars shinshu
435,Mars Twin Alps 750ml,90,https://www.paneco.com.sg/products/mars-twin-alps-750ml,"
                  Mars Shinshu distillery is located ""Central Alps"" and two of blended whiskey in the image of the grandeur of the Alps ""Southern Alps"" in the east. 
Soft mouthfeel and a ""sweet aroma such as vanilla and cookies"" and rich aroma that two scent of has become an integral ""ripe fruit aroma"", gentle finish is characterized.
                ",40,750ml,mars shinshu,No,Japan,,,,-,-,mars shinshu
436,Michters American Whiskey 750ml,117.95,https://www.paneco.com.sg/products/michters-american-whiskey-750ml,"
                  Hybrid distilled and cold filtered, this is a smooth dram that is “unblended” – without the addition of neutral grain spirits, as is common to American whiskey – and a true “small batch”, with only 24 barrels in each bottle. A buttery, rich and sweet foundation for superb craft cocktails.
                ",41.7,750ml,michters,No,United States,Bourbon,,,-,-,michters
437,Michters Single Barrel Straight Rye 750ml,117.95,https://www.paneco.com.sg/products/michters-single-barrel-straight-rye-750ml,"
                  Michter’s Single Barrel Straight Rye Whiskey is caramel in colour. Its scent is a blend of spicy, fruity and vanilla flavours. It has a rich rye taste which is coupled with a little bit of citrus, candy, vanilla and oak flavours with a finish of candy corn, butterscotch and vanilla.
                ",42.4,750ml,michters,No,United States,Bourbon,,,-,-,michters
438,Monkey Shoulder 700ml,62.95,https://www.paneco.com.sg/products/monkey-shoulder,"
                   The whiskey is composed of three carefully chosen single malts that are produced in the company's three distilleries: Glenfiddich, Kininvie and Balvenie. The result is a sweet whiskey with flowery flavors.
An exquisite blended whiskey produced by William Grant, one of the three largest whiskey manufacturers worldwide. 
                ",40,700ml,monkey shoulder,No,Scotland,,,,monkey shoulder,monkey shoulder,
439,Monkey Shoulder 1L,95,https://www.paneco.com.sg/products/monkey-shoulder-1l,"
                  An exquisite blended whiskey produced by William Grant, one of the three largest whiskey manufacturers worldwide. The whiskey is composed of three carefully chosen single malts that are produced in the company's three distilleries: Glenfiddich, Kininvie and Balvenie. The result is a sweet whiskey with flowery flavors. Get a bigger bottle and more with this 1L bottle.
                ",40,1000ml,monkey shoulder,No,Scotland,,,,monkey shoulder,monkey shoulder,
440,Mortlach 12 Year Single Malt 700ml w/Gift Box,123,https://www.paneco.com.sg/products/mortlach-12-year-single-malt-700ml-w-gift-box,"
                  An ode to our smallest yet most essential still, the ""Wee Witchie"", this 12 year old Single Malt Scotch Whisky has been double cask matured in both European and American oak to enhance the distinctively rich and robust character that makes Mortlach whiskies legendary.
                ",43.4,700ml,mortlach,Yes,Scotland,,,12 Year,-,-,mortlach
441,Mortlach 12 Year Single Malt 750ml w/Gift Box,128,https://www.paneco.com.sg/products/mortlach-12-year-single-malt-750ml-w-gift-box,"
                  An ode to our smallest yet most essential still, the ""Wee Witchie"", this 12 year old Single Malt Scotch Whisky has been double cask matured in both European and American oak to enhance the distinctively rich and robust character that makes Mortlach whiskies legendary.
                ",43.4,750ml,mortlach,Yes,Scotland,,,12 Year,-,-,mortlach
442,Mortlach 14 Year Single Malt 750ml,139,https://www.paneco.com.sg/products/mortlach-14-year-single-malt-750ml,"
This Mortlach 14 Year Old has been nicknamed Alexander's Way in honour of the distillery's former owner, Alexander Cowie. Thanks to Alexander Cowie, Mortlach distils its spirit 2.81 times, a rather unique process known as ‘The Way’. So, there you have it, Alexander's Way.This expression has been matured for 14 years in refill bourbon and sherry casks, with oodles of creamy notes and jam packed full of spice.
                ",43.4,750ml,mortlach,No,Scotland,,,14 Year,-,-,mortlach
443,Mortlach 16 Year Single Malt 700ml w/Gift Box,154.25,https://www.paneco.com.sg/products/mortlach-16-year-single-malt-700ml-w-gift-box,"
                  Inspired by the iconic and rewarding first bottling of the 16-year-old released in 1992. It has been matured in only Sherry casks to impart rich, fruity, and fragrant notes atop the beasty complexity synonymous with Mortlach.

                ",43.4,700ml,mortlach,Yes,Scotland,,,16 Year,-,-,mortlach
444,Nikka Coffey Grain Whisky 700ml,114.95,https://www.paneco.com.sg/products/nikka-coffey-grain-whisky-700ml-w-gift-box,"
                  The Coffey Still is the world’s first patented continuous still invented by Mr. Aeneas Coffey in 1830. Masataka Taketsuru valued the feature of this type of still, which retains the flavors of ingredients and also creates a distinctive texture. Coffey Grain and Coffey Malt are Nikka’s signature grain whiskies which show the beauty of our Coffey Stills. Nikka Coffey Grain is predominantly made from corn and distilled in a Coffey Still. The complex, sweet and mellow flavors of this expression will help you re-discover the beauty of a grain whisky.
                ",45,700ml,nikka,No,Japan,,,,-,-,nikka
445,Nikka Days 700ml,96.5,https://www.paneco.com.sg/products/nikka-days-700ml,"
                  A subtle blend of grain and malt whiskies made at both of Nikka’s main distilleries, Yoichi and Miyagikyo. Creamy and smooth, fruity and floral, this whisky will please amateurs and connoisseurs.
                ",40,700ml,nikka,No,Japan,,,,-,-,nikka
446,Nikka The Nikka 12 year 700ml,218,https://www.paneco.com.sg/products/nikka-the-nikka-12-year-700ml,"
A blended whisky introduced in 2014, Nikka Whisky’s 80th anniversary. The honorable golden emblem designed by Masataka Taketsuru in 1940 and the asymmetry bottle design inspired by “Kimono” show the layers of tradition.
",43,700ml,nikka,No,Japan,,,,-,-,nikka
447,Oban 14 Year 700ml w/Gift Box,114.95,https://www.paneco.com.sg/products/oban-14-year-single-malt-700ml-w-gift-box,"
                  A combination of rich sweetness with a smoky dryness and appetising spice distinguishes this lovingly-matured Highland malt.

                ",43,700ml,oban,Yes,Scotland,,,14 Year,oban,oban,
